jahr,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2018,230,Winterthur,60-64,Ausland,männlich,576,false
2018,230,Winterthur,60-64,Ausland,weiblich,457,false
2018,230,Winterthur,60-64,Schweiz,männlich,2274,false
2018,230,Winterthur,60-64,Schweiz,weiblich,2406,false
2018,230,Winterthur,65-69,Ausland,männlich,342,false
2018,230,Winterthur,65-69,Ausland,weiblich,331,false
2018,230,Winterthur,65-69,Schweiz,männlich,1763,false
2018,230,Winterthur,65-69,Schweiz,weiblich,2182,false
2018,230,Winterthur,70-74,Ausland,männlich,306,false
2018,230,Winterthur,70-74,Ausland,weiblich,275,false
2018,230,Winterthur,70-74,Schweiz,männlich,1684,false
2018,230,Winterthur,70-74,Schweiz,weiblich,2173,false
